text,date,user,sentiment,query,uncertainty_baseline,uncertainty_sngp
wheres the sunshine gone,Sun May 17 00:45:18 PDT 2009,vathenaEU,0,NO_QUERY,0.03693089,0.10151282
yay thanks for sharing are you feeling better than last night,Sun May 31 01:02:14 PDT 2009,subslavesteve,2,NO_QUERY,0.05608549,0.11200613
mmmm not looking forward to tomorrow and not enjoying everything being brought back this sucks,Sun Jun 07 12:58:26 PDT 2009,lizclark88,0,NO_QUERY,0.09124741,0.13734153
like your blog post on amsterdam too my place of birth,Sun May 17 10:14:51 PDT 2009,tuminds,2,NO_QUERY,0.07916331,0.32054958
well today was amazing i adore you babe lt,Sat May 30 21:09:21 PDT 2009,RancesorusRex,2,NO_QUERY,0.087176844,0.205993
howz things girlsglad to see ur getting on with things ur gunna be amaze woteva u do xx,Tue Jun 02 03:27:23 PDT 2009,jennyfizz,2,NO_QUERY,0.07792335,0.34018788
pretty cool huh the beginnings of quottweetcastingquot,Sun May 31 07:51:05 PDT 2009,DarkPiano,2,NO_QUERY,0.05343798,0.17919984
just finished my pancake of burger king the syrup is superb,Sun May 31 00:37:39 PDT 2009,jamestyler01,2,NO_QUERY,0.026795844,0.102628686
whoops that last tweet was meant for thank you,Sat May 02 03:16:02 PDT 2009,fddlgrl,2,NO_QUERY,0.028948905,0.10715594
setting up accountsits official noble ones bully breed rescue is now on tweeter now other things will start falling into place,Sun May 17 11:34:58 PDT 2009,nobleonesbbr,2,NO_QUERY,0.09728874,0.42210537
hey a loja agora tem twitter,Tue Jun 16 06:46:51 PDT 2009,mns_store,2,NO_QUERY,0.05463908,0.12292485
finally home playing with the little brothers,Sat May 30 19:30:54 PDT 2009,duhleesha,2,NO_QUERY,0.032314308,0.14228195
so i heard the fcjc national gathering is coming up oooh fun,Tue Jun 16 01:14:26 PDT 2009,KristineOisKOed,2,NO_QUERY,0.099064186,0.39836043
omg just found out i gotta walk miles for hours threw woods with suitcases gutted x,Sat Jun 06 15:48:25 PDT 2009,Aisha25,0,NO_QUERY,0.09375715,0.2380985
i can see my desk again yay tania will be happy,Sun May 31 00:11:48 PDT 2009,Sailfish1976,2,NO_QUERY,0.09208656,0.19394758
