text,date,user,sentiment,query,uncertainty_baseline
sooo its a bootiful sunday my first proper sit down in week then tomorrow back to reality but heyy i get to see my mateys,Sun Jun 07 02:23:03 PDT 2009,FaHizzle,0,NO_QUERY,0.2561983
ive a sneaky suspiscion she too k it with er,Sat May 30 16:11:03 PDT 2009,justhalo,0,NO_QUERY,0.2200642
how did your wife take it,Tue Jun 02 21:00:42 PDT 2009,SweetDahlia,0,NO_QUERY,0.21035993
good night twitter addicts have a very nice week leaving diego on saturday east coast here i comeim going to miss cali,Mon Jun 01 01:24:29 PDT 2009,joanneistheshit,2,NO_QUERY,0.15933807
yes not my favourite of places but need to send some things out sometimes there might not be anyone there so that is a good day,Sat May 30 01:25:52 PDT 2009,felicityfuller,0,NO_QUERY,0.2083402
quotplatonicmanhug,Wed Jun 24 23:08:00 PDT 2009,drakhalin,0,NO_QUERY,0.18287213
i miis you you are the best friends in this world,Sun May 31 13:46:20 PDT 2009,soofia_jb,0,NO_QUERY,0.27071488
soooooo true peta is really good everybodys dissing peta,Thu Jun 18 22:59:54 PDT 2009,vanxiaoyi,0,NO_QUERY,0.26740777
lt we shall have another one soon hopefully,Fri Jun 05 13:10:41 PDT 2009,brittersz,0,NO_QUERY,0.23613973
arggh just walked through a web,Mon Jun 01 17:36:02 PDT 2009,McParty,0,NO_QUERY,0.29136494
come back please im bored,Sat Jun 06 14:03:15 PDT 2009,Hanishi,2,NO_QUERY,0.19340673
ourmate is your marmite rebranded for nz so naturally its the only spread hell have hard to explain the flavours,Tue Jun 16 16:00:14 PDT 2009,sarahbyles,0,NO_QUERY,0.2460535
ive done so much today not,Mon Jun 01 13:30:02 PDT 2009,katiezeppenfeld,2,NO_QUERY,0.26201403
ker tshirt pa ma gor e ma sorry about what happens later res ni neki kredibilno,Fri Jun 05 10:47:27 PDT 2009,PrimozL,2,NO_QUERY,0.27716225
thats pretty high can gaybor take you in if you need,Tue Jun 16 13:01:00 PDT 2009,Jperryman73,0,NO_QUERY,0.15949647
i know,Tue May 26 21:39:26 PDT 2009,littlebrownjen,2,NO_QUERY,0.24842468
listening to do you remember aaron carter wth,Wed May 13 23:34:38 PDT 2009,iamgaberosales,0,NO_QUERY,0.2492516
today is a classic country day hank willie and waylon my poor office that puts up with me,Wed Jun 03 09:52:07 PDT 2009,AmyPR,2,NO_QUERY,0.2532048
because you went to jonas brothers and saw mcfly,Wed Jun 17 12:34:39 PDT 2009,Becci_McFry,0,NO_QUERY,0.23594265
sad day good bye jay leno see you at ten in the fall,Fri May 29 21:33:33 PDT 2009,thesoundoholic,2,NO_QUERY,0.25158858
pouting whatcha watching,Sat Jun 06 19:37:36 PDT 2009,ginawittmd,0,NO_QUERY,0.25480556
that was supposed to be an upside down smile,Fri May 22 04:56:18 PDT 2009,knappkd,0,NO_QUERY,0.17210944
neeeeds to update his twitter more,Tue Jun 23 12:34:10 PDT 2009,Lonathan,0,NO_QUERY,0.16612914
ouch made it up to here,Mon Jun 15 20:37:11 PDT 2009,dfeller,2,NO_QUERY,0.17434964
i find that i strikingly resemble garfield at the mo droopyeyed hungerfaced and supremely sloppy,Sun Jun 21 08:49:31 PDT 2009,sunandanarayan,0,NO_QUERY,0.29761493
forgot the link,Sun Apr 19 02:37:47 PDT 2009,HeinMaas,2,NO_QUERY,0.25091577
i just got twitter spammed,Mon Jun 01 06:36:09 PDT 2009,nipez,2,NO_QUERY,0.19204229
lucas my heart is yours to have and hold or break i luv yu,Mon May 04 01:51:31 PDT 2009,LucasCrazy,0,NO_QUERY,0.18698932
awesome to be stranded with ur better half worst part of the dj life imo is so much travelling alone,Tue Jun 16 06:30:48 PDT 2009,noelsanger,2,NO_QUERY,0.15605493
introducing the nokia n not and internet tablet,Tue May 26 22:10:56 PDT 2009,Infoseepage,0,NO_QUERY,0.19608305
its almost and tweetdeck hasnt locked up yet maybe the new version is going to work right,Mon Jun 15 09:40:10 PDT 2009,esmoger,2,NO_QUERY,0.20249377
tell this boy stop callin me mean,Sun May 31 18:18:23 PDT 2009,MissMoneyMesha,2,NO_QUERY,0.20755224
no haha but it is very sad ill go see her soon anyways,Tue Jun 16 07:13:14 PDT 2009,ShianneCampbell,2,NO_QUERY,0.2150781
also i hate people who make a twitter and never update what a waste of a username,Sat Jun 06 09:44:09 PDT 2009,MusicRoxMySox,2,NO_QUERY,0.24453369
bird warfare right outside my window cmon birds kiss amp make up so i can snooze a bit more,Tue Jun 02 23:39:31 PDT 2009,curlydena,0,NO_QUERY,0.23345412
sorry john smoltz i really wanted to see you pitch but six flags is waiting for me lets reschedule,Sat Jun 06 06:15:25 PDT 2009,kishat,2,NO_QUERY,0.25468457
sleep goodnight early sunday for me,Sat Apr 18 22:44:11 PDT 2009,baybeegurl425,0,NO_QUERY,0.26805612
got done with work can i interest you in a mind boggling night filled with wild adventures yes please,Sat Jun 20 22:03:26 PDT 2009,taylorstuevs,0,NO_QUERY,0.17559956
oh ok just let me know times going by so fastshell be leavin soon lemme know,Mon Jun 15 06:06:47 PDT 2009,lavidaloca7,0,NO_QUERY,0.19150129
todays the day countdown is over dont worry ill have another one soon lol,Fri Jun 05 10:03:12 PDT 2009,csholm724,0,NO_QUERY,0.25836104
and this website concept was going so well,Thu Jun 18 10:11:50 PDT 2009,phej,0,NO_QUERY,0.20751263
more rain lots of thunder,Fri May 01 22:16:11 PDT 2009,bendito2006,2,NO_QUERY,0.17411798
get well soon,Sun May 31 02:36:17 PDT 2009,HollywoodHawk,0,NO_QUERY,0.20927837
i think i already have enough photos of salmon with pommery mustard to create a blog post sans camera,Sun May 31 08:42:46 PDT 2009,eatwellathome,0,NO_QUERY,0.23072642
im priceless fucc yall dime movements thanks and for the ones who steady on my shit every nite chrissy is not feelin good,Mon Jun 15 18:40:08 PDT 2009,divadivachrissy,2,NO_QUERY,0.19998704
no pain no gain,Sat Jun 20 23:11:11 PDT 2009,davevonderhaar,0,NO_QUERY,0.18091968
i finally fell asleep,Thu Jun 18 05:50:08 PDT 2009,reverend_bunnie,0,NO_QUERY,0.21505864
last day blonde going back to my roots,Tue Jun 16 20:37:13 PDT 2009,vickybloom,0,NO_QUERY,0.27337313
yawn good morning looking at dresses today still trying to figure out the house thing,Mon Jun 15 07:54:05 PDT 2009,E_Conley,0,NO_QUERY,0.24872212
the guy sitting at the table next to me in the library is blasting rap music on his earphones how can you study law with rap music,Fri Jun 05 12:17:30 PDT 2009,CaliforniaGem,0,NO_QUERY,0.28860295
the guitar,Thu Jun 18 14:38:43 PDT 2009,aaronhoskins,0,NO_QUERY,0.20480527
if she lived next door to me you would never ever see me ever,Fri May 29 21:05:42 PDT 2009,jdotmiller,2,NO_QUERY,0.29558903
aw shucks,Sun Jun 07 20:37:26 PDT 2009,donnaelle,2,NO_QUERY,0.18638244
its not sad because im the same way my day doesnt start til i get my starbucks,Mon Jun 01 10:18:32 PDT 2009,L0vE_dRuNk,2,NO_QUERY,0.20455122
drinking is fun y i have a really bad sore throat cherry lozenges are life savers xx,Sat Jun 06 01:21:43 PDT 2009,PoyntlasLove,2,NO_QUERY,0.15411839
is working whilst k watches startrek with sammyboy in a cinema delux,Sun May 10 03:08:33 PDT 2009,rakh1,0,NO_QUERY,0.24270579
lets move to northern sweden and live in an igloo with a polar bear pet,Tue Jun 23 09:06:02 PDT 2009,stixxeh,0,NO_QUERY,0.19776496
no work me today,Mon Jun 01 05:17:41 PDT 2009,YiiSeL,2,NO_QUERY,0.16278619
very are you at washington nationalsorry you have such a yucky delay,Sat Jun 20 06:44:53 PDT 2009,amparman,0,NO_QUERY,0.21536256
it can be angina or just heart burn heart attack wont let u tweet,Sun Jun 07 12:38:35 PDT 2009,KirtiB,2,NO_QUERY,0.25663614
hmmedward lets say the werewolves take over your citydeal,Fri Jun 05 16:31:35 PDT 2009,Ilkee,0,NO_QUERY,0.22275317
people try amppretend like im not there im not going away,Sun Apr 19 06:39:35 PDT 2009,semipenguin,2,NO_QUERY,0.28583694
read for some breakfast,Mon May 18 07:05:14 PDT 2009,TFletch81,0,NO_QUERY,0.15348664
my first ever attempt at making pizza the verdict a fail we forgot to buy cheese plus n and i put waay too much ham,Sat May 02 23:54:50 PDT 2009,highjaxxaplane,2,NO_QUERY,0.19184595
im in the shower,Fri May 22 05:42:05 PDT 2009,ohs0sam,0,NO_QUERY,0.15575638
you cant say anythingif twitter went down right now youd die lol,Sat Apr 18 20:42:06 PDT 2009,Scyranth,2,NO_QUERY,0.28963113
demi lovato music sounds more and more like the jonas brothers music everyday,Fri Jun 05 22:49:46 PDT 2009,laurenburkhart,0,NO_QUERY,0.28698152
fort walton beach fl was great last week back to reality this week,Wed Jun 17 11:54:36 PDT 2009,chuckgoon,0,NO_QUERY,0.18531916
thank goodness for that me normal never no sleep now photo editingjoy,Sat May 30 06:21:05 PDT 2009,dontforgetchaos,0,NO_QUERY,0.16776921
i just sold the first guitar i ever owned,Sat Jun 20 19:05:00 PDT 2009,xtapol,0,NO_QUERY,0.26691005
well i have to sleep everything i can when i can since insomnia struck me nights ago,Mon Jun 01 00:33:23 PDT 2009,Mhaey,2,NO_QUERY,0.24511768
i tried that last year but no one wanted to give up their secrets,Mon May 18 06:51:19 PDT 2009,jerseyshorejen,2,NO_QUERY,0.16302527
i knocked on ur door with the breakfast u didnt answer lol,Sat Jun 06 09:35:27 PDT 2009,Cook1bd,2,NO_QUERY,0.21499878
ive been getting responses about the things that go one in church,Sun May 10 08:27:16 PDT 2009,catholicmominHI,0,NO_QUERY,0.25869972
good mood but one of the excons i follow out here in our town is back in acj kinda makes me sad he had more going for himself,Sun May 03 20:26:50 PDT 2009,user66646895200,2,NO_QUERY,0.20599693
after ages i synced my quottouchquot now its full,Sun May 31 12:39:24 PDT 2009,robitter,0,NO_QUERY,0.21104053
working on a friday but excited movie later with,Fri Jun 19 17:28:05 PDT 2009,GiselleDaisy,0,NO_QUERY,0.19488938
watching tv sunday evenings suck,Sun Apr 19 11:40:53 PDT 2009,Browwneyedgirl,2,NO_QUERY,0.17029421
so if i dont know who you are dont take offense,Wed Jun 17 05:08:27 PDT 2009,sarahmayhem,0,NO_QUERY,0.18667834
headed labfeelin droopy amp lousy,Mon Jun 15 10:25:20 PDT 2009,tierra88,0,NO_QUERY,0.19043295
back from holiday doh,Mon Jun 15 01:43:43 PDT 2009,JessSketchleyGK,0,NO_QUERY,0.2616002
is it slightly ocd that i get so much satisfaction from tweets that contain the perfect number of characters this one doesnt,Sun May 31 02:07:24 PDT 2009,timehhh,0,NO_QUERY,0.27712527
my jaw hurts volleyball torture tonight grrr sunburn really really hurts but tomorrow it will be a tan eating creamy pesto,Mon Jun 15 08:24:35 PDT 2009,ejazquitch,2,NO_QUERY,0.15274881
