text,date,user,sentiment,query,uncertainty_sngp
coachella i want to go sing the cure for me,Sat Apr 18 22:37:08 PDT 2009,taniia_r,0,NO_QUERY,0.64987814
im in my room eating some of my moms amazing noodles i know youre jealous,Sun May 17 11:58:04 PDT 2009,Singingirlx10,2,NO_QUERY,0.63740027
y i gotta b talkin bout clubbin y cant i b talkin bout the moviesdinneror just hangin out,Fri May 29 10:57:39 PDT 2009,MSEDITH88,0,NO_QUERY,0.6720384
hiya yes i have rebooted and it still isnt right wondering what is wrong as it was working a couple of weeks agon,Sun May 17 05:15:01 PDT 2009,felicityfuller,0,NO_QUERY,0.65891784
going to take a shower and then homework,Sun May 03 08:45:58 PDT 2009,lovefrustration,0,NO_QUERY,0.6071829
my stomach feels much better after eating yet another bowl of chicken noodle soup,Tue Jun 02 20:53:55 PDT 2009,jvelasquezphx,2,NO_QUERY,0.6679423
fuck yaself or ill do it for you lol,Sat Jun 06 19:54:30 PDT 2009,DoraThaExplorer,2,NO_QUERY,0.6446202
is resting her eyes,Tue Jun 16 00:44:20 PDT 2009,sarahymlee,2,NO_QUERY,0.6936567
thats mean,Thu May 28 21:15:42 PDT 2009,xxxSupermodel,0,NO_QUERY,0.64089733
starting to play my warrior again going for loremaster no raiding for six weeks though,Sun May 17 23:48:53 PDT 2009,WukkiUkki,0,NO_QUERY,0.66969097
im almost positive that lebron james is not completely human take that,Thu May 28 20:48:27 PDT 2009,_EKu_,2,NO_QUERY,0.63813806
so colddddd and rainy but i like it p,Mon May 18 00:31:52 PDT 2009,HolleebH,0,NO_QUERY,0.64704686
why limit your story to ch tell all what is annoying you at,Sat Jun 06 08:59:54 PDT 2009,what_bugs_u,2,NO_QUERY,0.6254294
the year i dont,Sun May 31 13:16:51 PDT 2009,listenmissy,0,NO_QUERY,0.66071695
is on his way to college on his day off death to getting in shows by force of good will only,Mon Jun 15 01:06:04 PDT 2009,hiscocks,0,NO_QUERY,0.6534525
tryna rob me niqqa im pinky niqqa whats up,Sun Jun 14 22:51:56 PDT 2009,missfyared,2,NO_QUERY,0.6422557
rains pouring again good thing im just gonna stay at home,Tue Jun 02 01:12:48 PDT 2009,happylovesChuck,2,NO_QUERY,0.69321525
