text,date,user,sentiment,query,true_label,predicted_label,confidence,is_correct,true_label_name,predicted_label_name
i want my best friend,Fri Jun 05 16:24:29 PDT 2009,TurboLisa,0,NO_QUERY,0,0,0.8853612,1,negative,negative
now the cat would like that garden actually if its all cut wood then stag beetles would love it too,Thu Jun 04 09:50:00 PDT 2009,ripplestone,2,NO_QUERY,2,2,0.85915726,1,positive,positive
we are praying for you all may you reach alot of hearts for god,Sun May 31 09:27:17 PDT 2009,goatkeeper7,2,NO_QUERY,2,2,0.86085546,1,positive,positive
does not like the words quotyummyquot and quottastyquot despise them,Mon May 18 06:37:43 PDT 2009,Monistar,0,NO_QUERY,0,0,0.7890264,1,negative,negative
coachella i want to go sing the cure for me,Sat Apr 18 22:37:08 PDT 2009,taniia_r,0,NO_QUERY,0,0,0.65277565,1,negative,negative
is in a communications class with a bunch of undergrads that is gonna cost me for days of class fml,Mon Jun 01 08:26:51 PDT 2009,anbpharmd2b,0,NO_QUERY,0,0,0.8807868,1,negative,negative
im in my room eating some of my moms amazing noodles i know youre jealous,Sun May 17 11:58:04 PDT 2009,Singingirlx10,2,NO_QUERY,2,2,0.6688893,1,positive,positive
y i gotta b talkin bout clubbin y cant i b talkin bout the moviesdinneror just hangin out,Fri May 29 10:57:39 PDT 2009,MSEDITH88,0,NO_QUERY,0,0,0.6081315,1,negative,negative
hiya yes i have rebooted and it still isnt right wondering what is wrong as it was working a couple of weeks agon,Sun May 17 05:15:01 PDT 2009,felicityfuller,0,NO_QUERY,0,0,0.63761747,1,negative,negative
sometimes i enjoy the zoom of my car a little too much,Sat May 30 21:25:29 PDT 2009,beckygudnason,2,NO_QUERY,2,2,0.8594742,1,positive,positive
goo luck for tomorrow sorry i couldnt text back still out of credit,Sat May 30 16:53:14 PDT 2009,wilbo421,0,NO_QUERY,0,0,0.8431337,1,negative,negative
uhm science verrrry boring and long grrr,Sun May 17 11:37:14 PDT 2009,mckyliecooper,0,NO_QUERY,0,0,0.85789937,1,negative,negative
diabetic hubby doesnt trust testing kits that dont puncture,Mon May 18 05:04:52 PDT 2009,ALtieLady,0,NO_QUERY,0,0,0.7659775,1,negative,negative
howz things girlsglad to see ur getting on with things ur gunna be amaze woteva u do xx,Tue Jun 02 03:27:23 PDT 2009,jennyfizz,2,NO_QUERY,2,2,0.8936471,1,positive,positive
getting ready to go to s house yeeee ok ummm yeah we are gonna work on our spanish projectooo wearemakinnflannnn,Sun May 17 11:27:00 PDT 2009,alyssa_paul,2,NO_QUERY,2,2,0.7945791,1,positive,positive
i text u the other day i gets no love r what,Tue Jun 23 17:50:18 PDT 2009,missniqniq,0,NO_QUERY,0,0,0.80997914,1,negative,negative
ok maybe one more to see five am tonight,Sun Jun 07 19:18:53 PDT 2009,justinebennett,2,NO_QUERY,2,2,0.89000654,1,positive,positive
setting up accountsits official noble ones bully breed rescue is now on tweeter now other things will start falling into place,Sun May 17 11:34:58 PDT 2009,nobleonesbbr,2,NO_QUERY,2,2,0.85151976,1,positive,positive
well at least you try ur doin better than me,Tue Jun 02 10:43:35 PDT 2009,VioletsCRUK,2,NO_QUERY,2,2,0.7596746,1,positive,positive
i have work til tomorrow,Mon May 18 03:34:08 PDT 2009,roxiface,0,NO_QUERY,0,0,0.84786785,1,negative,negative
goin to work,Sat Jun 06 05:10:33 PDT 2009,willstrunk,0,NO_QUERY,0,0,0.88122445,1,negative,negative
i didnt know you had a twitter hehe,Sat Jun 06 20:54:51 PDT 2009,xxcupcakerawrxx,2,NO_QUERY,2,2,0.82949746,1,positive,positive
fui fan de ese tweet te am,Sat Jun 06 20:10:35 PDT 2009,MagicMakerDan,2,NO_QUERY,2,2,0.88004774,1,positive,positive
haha felt like a whole afternoon with j,Tue Jun 02 19:09:18 PDT 2009,iAlexaa,2,NO_QUERY,2,2,0.7220571,1,positive,positive
so i heard the fcjc national gathering is coming up oooh fun,Tue Jun 16 01:14:26 PDT 2009,KristineOisKOed,2,NO_QUERY,2,2,0.8648727,1,positive,positive
conan is back,Mon Jun 01 21:01:02 PDT 2009,ameericanaXeyes,2,NO_QUERY,2,2,0.82492614,1,positive,positive
xboxe no apb x infinity,Mon Jun 01 12:25:04 PDT 2009,POJOMOFO,0,NO_QUERY,0,0,0.8932418,1,negative,negative
going to take a shower and then homework,Sun May 03 08:45:58 PDT 2009,lovefrustration,0,NO_QUERY,0,0,0.7093606,1,negative,negative
if only the parties knew what they stood for or would stand for something,Wed Jun 03 05:52:41 PDT 2009,hobogene,2,NO_QUERY,2,2,0.7377417,1,positive,positive
my stomach feels much better after eating yet another bowl of chicken noodle soup,Tue Jun 02 20:53:55 PDT 2009,jvelasquezphx,2,NO_QUERY,2,2,0.62197775,1,positive,positive
sleeping like a baby,Sat May 30 22:15:15 PDT 2009,SaulRdz,2,NO_QUERY,2,2,0.7620102,1,positive,positive
im also still keeping my head above all the rain thats been falling in the past two weeks,Thu Jun 18 13:01:10 PDT 2009,ceetaylor,0,NO_QUERY,0,0,0.71805805,1,negative,negative
fuck yaself or ill do it for you lol,Sat Jun 06 19:54:30 PDT 2009,DoraThaExplorer,2,NO_QUERY,2,2,0.65960693,1,positive,positive
is resting her eyes,Tue Jun 16 00:44:20 PDT 2009,sarahymlee,2,NO_QUERY,2,2,0.54661375,1,positive,positive
my spinach pie only turned out so so,Sat Jun 06 15:36:02 PDT 2009,Bscottyberg,0,NO_QUERY,0,0,0.82053494,1,negative,negative
tried oprahs free unfried kfc and loved it i went back for another try and topped it with boba and wolverinechilled with popedaveben,Sun May 10 00:06:48 PDT 2009,0melvin,2,NO_QUERY,2,2,0.88568836,1,positive,positive
erm meat im not really sure ill get all the salads ready and drinks etc its not shaping up to be the best day,Sat Jun 06 00:59:49 PDT 2009,NancyPotter1,0,NO_QUERY,0,0,0.8155053,1,negative,negative
im reading and then hitting the sack,Sun May 10 21:16:52 PDT 2009,PopTart91,2,NO_QUERY,2,2,0.83929133,1,positive,positive
thats mean,Thu May 28 21:15:42 PDT 2009,xxxSupermodel,0,NO_QUERY,0,0,0.66781676,1,negative,negative
is in the studio with mattdoing something for my new song well it might turn into one la is really hot i need summer clothing,Sun May 10 09:34:30 PDT 2009,cyrusmiley9,2,NO_QUERY,2,2,0.7748819,1,positive,positive
hi you know im right now on ebay looking for electronics and tech gadgets,Wed Jun 03 04:07:20 PDT 2009,cindyclarkk,2,NO_QUERY,2,2,0.865234,1,positive,positive
i saw you guys today me and my friends were freaking outt aaaaaaahhh you guys are such good people,Sat May 30 20:18:47 PDT 2009,mepluscjz,2,NO_QUERY,2,2,0.8135898,1,positive,positive
starting to play my warrior again going for loremaster no raiding for six weeks though,Sun May 17 23:48:53 PDT 2009,WukkiUkki,0,NO_QUERY,0,0,0.616442,1,negative,negative
im almost positive that lebron james is not completely human take that,Thu May 28 20:48:27 PDT 2009,_EKu_,2,NO_QUERY,2,2,0.6703527,1,positive,positive
so colddddd and rainy but i like it p,Mon May 18 00:31:52 PDT 2009,HolleebH,0,NO_QUERY,0,0,0.6557857,1,negative,negative
why limit your story to ch tell all what is annoying you at,Sat Jun 06 08:59:54 PDT 2009,what_bugs_u,2,NO_QUERY,2,2,0.68634087,1,positive,positive
i want to learn how to swin dont know how but i did shower hehe my caddy is not a good swin coach hahnaa,Sat May 30 11:35:23 PDT 2009,YaniTseng,0,NO_QUERY,0,0,0.859187,1,negative,negative
just kidding i love you,Fri May 29 22:00:17 PDT 2009,lalala_lidya,2,NO_QUERY,2,2,0.85154325,1,positive,positive
my banana diet now includes banana bread flavored oatmeal,Sat Jun 06 13:35:19 PDT 2009,johnlangjr,2,NO_QUERY,2,2,0.8810049,1,positive,positive
your birthday even,Mon Jun 15 07:29:50 PDT 2009,Mr_Spong,2,NO_QUERY,2,2,0.74455535,1,positive,positive
i have to choose between and on sunday and wins im shattered why cant i be healthy enough to go to both,Fri May 29 01:07:28 PDT 2009,kasemc,0,NO_QUERY,0,0,0.8010246,1,negative,negative
sitting laptop in position at mercedes while they juke around with my smart ltparse that i dare ya,Mon Jun 15 09:56:11 PDT 2009,shannatrenholm,2,NO_QUERY,2,2,0.7476269,1,positive,positive
oh really a yay haha and aww you guys look close there i bet she will,Sat May 16 20:55:00 PDT 2009,archangelmaggie,2,NO_QUERY,2,2,0.81102264,1,positive,positive
okay so now im heading off to sleep goodnight all,Sun May 31 06:39:43 PDT 2009,mismee,2,NO_QUERY,2,2,0.87030995,1,positive,positive
lalalala ahlalala hv u evr heard this song itz so cool song i like it i feel so untouched,Sat May 30 18:26:09 PDT 2009,FallaRohmah,2,NO_QUERY,2,2,0.8926298,1,positive,positive
happy birthday lets not reveal who was the most venerable in the room,Sun May 03 03:17:27 PDT 2009,brampitoyo,2,NO_QUERY,2,2,0.89331543,1,positive,positive
sure thing kel you must of partied way to much at pops bbq shoot ill even give you,Mon Jun 15 04:24:28 PDT 2009,graceslick91,2,NO_QUERY,2,2,0.8054226,1,positive,positive
tongue tied at the crucial moments get help from one who knows,Sat May 30 02:39:18 PDT 2009,whitsundays,2,NO_QUERY,2,2,0.8101387,1,positive,positive
i rly need a computer in my room so i can participate with chats and suchmobile stickam only lets you watch the main screen not chat,Fri Jun 19 00:21:56 PDT 2009,sierraohh,0,NO_QUERY,0,0,0.82985187,1,negative,negative
the year i dont,Sun May 31 13:16:51 PDT 2009,listenmissy,0,NO_QUERY,0,0,0.6309417,1,negative,negative
i think its worth every penny when it comes to cameras,Mon Jun 01 17:25:54 PDT 2009,xoxoJL,2,NO_QUERY,2,2,0.82803935,1,positive,positive
is on his way to college on his day off death to getting in shows by force of good will only,Mon Jun 15 01:06:04 PDT 2009,hiscocks,0,NO_QUERY,0,0,0.6455165,1,negative,negative
gonna get some beauty rest amp dream about mr handsome more days,Tue Jun 16 00:26:15 PDT 2009,ohdichi,2,NO_QUERY,2,2,0.8648472,1,positive,positive
after you buy me a new foot pedal mine broke,Thu Jun 18 11:06:27 PDT 2009,sajeh,0,NO_QUERY,0,0,0.8989294,1,negative,negative
scream is on bbc its just started,Sat May 30 15:19:56 PDT 2009,ChrisHFilms,2,NO_QUERY,2,2,0.7831232,1,positive,positive
i dont want to fall asleep cause then it would be tomorrow,Sat Jun 06 21:56:22 PDT 2009,annemul,0,NO_QUERY,0,0,0.817245,1,negative,negative
theyre still falling its so ez for u n itll pass in no time for me its ever idk if u kno or even understand how im feelin rite now,Fri May 01 22:10:22 PDT 2009,SashiGamali,0,NO_QUERY,0,0,0.73558766,1,negative,negative
tryna rob me niqqa im pinky niqqa whats up,Sun Jun 14 22:51:56 PDT 2009,missfyared,2,NO_QUERY,2,2,0.6606129,1,positive,positive
that sure is good for the soul but adults laughing is just as good for me we dont do it nearly enough,Sat Jun 06 11:33:30 PDT 2009,Kips206,2,NO_QUERY,2,2,0.7601421,1,positive,positive
can lebron do it can he force a game and save cleveland a summer of shame history says no,Sat May 30 14:02:31 PDT 2009,DadOfFiveKidz,0,NO_QUERY,0,0,0.7638308,1,negative,negative
turns out i am a decent griller who knew,Mon Jun 01 16:59:04 PDT 2009,BrittanyKaley,2,NO_QUERY,2,2,0.7735729,1,positive,positive
says dammit its almost the end of summer,Sat May 02 06:16:57 PDT 2009,mannequinn_,0,NO_QUERY,0,0,0.7998743,1,negative,negative
rains pouring again good thing im just gonna stay at home,Tue Jun 02 01:12:48 PDT 2009,happylovesChuck,2,NO_QUERY,2,2,0.5363194,1,positive,positive
look forward to your tweets i love working and thinking for a better tomorrow,Sun May 03 03:11:42 PDT 2009,soulfubeauty,2,NO_QUERY,2,2,0.8842221,1,positive,positive
heard tees interview on radio nz time flew,Sat Jun 06 15:05:50 PDT 2009,jeanettemarsh,2,NO_QUERY,2,2,0.894862,1,positive,positive
no although she was awesome i already have too many here she needed a good home where she could be queen,Thu Jun 25 09:12:36 PDT 2009,K_MacFarlane,0,NO_QUERY,0,0,0.5562244,1,negative,negative
dont want to grow up want to stay in my own deluded and isolated world forever,Wed Jun 17 00:02:30 PDT 2009,ombrophilia,0,NO_QUERY,0,0,0.8718862,1,negative,negative
im so tired im so paranoid cuz my dad said quotthis is your last day of relaxingquot and i looked at the schedule i have intense volleyball,Sun Jun 21 06:20:45 PDT 2009,DaniellaFTW,0,NO_QUERY,0,0,0.708336,1,negative,negative
i was responding to both phallus meat hotdog plus shut up,Wed Jun 03 06:42:33 PDT 2009,Magdalena_13,2,NO_QUERY,2,2,0.84824693,1,positive,positive
wisdom teeth out today would rather die,Tue Jun 16 08:42:38 PDT 2009,GloomyJenMen,0,NO_QUERY,0,0,0.64346594,1,negative,negative
hours of general studiesit takes the piss even more than my answers revision time now ow,Mon Jun 15 04:45:54 PDT 2009,elle20,0,NO_QUERY,0,0,0.759873,1,negative,negative
it was sad but the ending was nice i love how the pictures were placed,Wed Jun 17 19:55:50 PDT 2009,Emiilyy,0,NO_QUERY,0,0,0.5513576,1,negative,negative
oh boy its gonna be one of those days again,Thu Jun 18 09:57:11 PDT 2009,Shauntastic,0,NO_QUERY,0,0,0.5937513,1,negative,negative
i cant sleep im so fucked love you lt,Tue Jun 02 20:21:35 PDT 2009,3sixty5days,0,NO_QUERY,0,0,0.77403164,1,negative,negative
we seem to have three extra tickets for the oasis blokefest a week on friday anyone want them dm me or whatever,Mon Jun 01 02:03:56 PDT 2009,webstl,2,NO_QUERY,2,2,0.57981557,1,positive,positive
i hear cats fighting outside how come i never see awesome stuff like that when im actually outside,Tue Jun 16 00:00:07 PDT 2009,matto_dingo,0,NO_QUERY,0,0,0.63350797,1,negative,negative
wuaaah we have strawberries at home,Sun May 17 06:16:34 PDT 2009,violahou,2,NO_QUERY,2,2,0.83701795,1,positive,positive
dory walked out of her room and said mom do not come in here i am not kidding you will die it is such a messgreat tomorrow right,Sun Jun 07 19:55:37 PDT 2009,Momto3blessings,0,NO_QUERY,0,0,0.79632384,1,negative,negative
you the fucking best ohhhhh drake u know it,Sun May 31 12:40:41 PDT 2009,IzazMusic,2,NO_QUERY,2,2,0.8309667,1,positive,positive
followers,Sun May 31 03:40:18 PDT 2009,twliciousness,2,NO_QUERY,2,2,0.8835494,1,positive,positive
makep timee,Sat May 30 15:27:35 PDT 2009,haleydinh,2,NO_QUERY,2,2,0.84902894,1,positive,positive
drive fast when works finished want you to come home feel really ill in an actual imighthaveavirus way,Thu Jun 25 06:49:47 PDT 2009,June_Bear,0,NO_QUERY,0,0,0.67377746,1,negative,negative
ah finished my paper,Sun Jun 07 17:38:08 PDT 2009,HeroesROverWith,2,NO_QUERY,2,2,0.7884422,1,positive,positive
she didnt know about the kitty so were safe she has a dog she loves and a fish she adores it was more me,Tue Apr 07 08:25:41 PDT 2009,EvelynErives,2,NO_QUERY,2,2,0.7046071,1,positive,positive
the technology is rebelling against me this week xbox red ring of death iphone upgrade fail sql quotquirksquot,Fri Jun 19 11:44:43 PDT 2009,mginn82,0,NO_QUERY,0,0,0.7868585,1,negative,negative
oooh what a purty day,Sat May 02 06:42:55 PDT 2009,toniriales,2,NO_QUERY,2,2,0.82467955,1,positive,positive
keep the kids in a sterile room and have them do online classes that should solve a lot of problems,Fri May 29 10:23:59 PDT 2009,JRU_1962,2,NO_QUERY,2,2,0.53040844,1,positive,positive
i cant wait til adree turns last left,Sun Jun 07 13:52:10 PDT 2009,NezValenzuela,2,NO_QUERY,2,2,0.614002,1,positive,positive
i just want to say hello im around,Sun Jun 07 02:42:31 PDT 2009,maybe742,2,NO_QUERY,2,2,0.7700161,1,positive,positive
yahhh dar u missed the announcement dan jg hr trakhir bareng b,Fri Jun 19 20:45:10 PDT 2009,annamols,0,NO_QUERY,0,0,0.8553625,1,negative,negative
time for sleep,Sun Jun 07 01:58:06 PDT 2009,sucrebonbon,2,NO_QUERY,2,2,0.79791296,1,positive,positive
at least were dying together suhweet xd,Sun Jun 07 04:12:32 PDT 2009,iAd0rkable,2,NO_QUERY,2,2,0.55111194,1,positive,positive
why does nobody smile on the vegas strip its the town of the frown,Thu Jun 18 14:22:38 PDT 2009,stephensteger,0,NO_QUERY,0,0,0.847076,1,negative,negative
nadals four years of victorys gone,Mon Jun 01 08:02:47 PDT 2009,itspaigepenales,0,NO_QUERY,0,0,0.8343097,1,negative,negative
i was thinking that stable was more important too awesome that youre about down with on the fly,Sat May 30 17:28:58 PDT 2009,AtlantisJackson,2,NO_QUERY,2,2,0.8978741,1,positive,positive
not really the house drummer is there every week but sometimes other drummers show up not this time but it will happen,Mon May 11 22:48:17 PDT 2009,TySeale,2,NO_QUERY,2,2,0.5162536,1,positive,positive
i heard that was considering eating her grasshoppers,Sun May 17 23:12:21 PDT 2009,shih_wei,2,NO_QUERY,2,2,0.6629888,1,positive,positive
haha gatorade sounds good right now they serve it in the gym after pe but i dont have pe today,Mon May 04 06:28:43 PDT 2009,kea8896,0,NO_QUERY,0,0,0.7483131,1,negative,negative
no its confirmed the dates not set yet but it will be near utrecht,Tue Jun 16 06:50:47 PDT 2009,xxAnouk,2,NO_QUERY,2,2,0.521875,1,positive,positive
cant wait detroit needs some ztrip right about now,Fri May 22 04:54:24 PDT 2009,samaman,2,NO_QUERY,2,2,0.7464575,1,positive,positive
what should i do today i think ill ride to the shops and get a smoothie then walk my dog what a boring day,Fri Jun 19 18:02:33 PDT 2009,sophie267,0,NO_QUERY,0,0,0.5688077,1,negative,negative
just did a past paper only to find out you cant get the mark scheme for it any more,Sun May 31 06:18:53 PDT 2009,orribull,0,NO_QUERY,0,0,0.7876468,1,negative,negative
i want a new bedrepaint my room get a proper bookshelf etc,Wed Jun 17 23:53:57 PDT 2009,meing,0,NO_QUERY,0,0,0.7153371,1,negative,negative
oh god i cant believe it thank you,Tue May 26 21:17:05 PDT 2009,valejoan,2,NO_QUERY,2,2,0.8917033,1,positive,positive
yes i can imagine that would be a prolem,Sat Jun 06 14:59:55 PDT 2009,dragontart,2,NO_QUERY,2,2,0.8176354,1,positive,positive
because i dont have a fancy hat and a ticket,Mon May 18 05:30:27 PDT 2009,dineanddashed,0,NO_QUERY,0,0,0.798053,1,negative,negative
gahhh hiccups,Fri Jun 05 21:39:01 PDT 2009,SamiCappola,0,NO_QUERY,0,0,0.5842453,1,negative,negative
i am sitting wishing it was nice out to tanbut no,Sun Jun 07 06:25:07 PDT 2009,xoxohezxo92,0,NO_QUERY,0,0,0.8724982,1,negative,negative
isss in topeka kansas and leaving back for texass tomorrow morning,Sat Jun 20 11:50:59 PDT 2009,AlwaysWright2,0,NO_QUERY,0,0,0.6961437,1,negative,negative
why dont things open early so i can get stuff done,Fri May 22 06:44:45 PDT 2009,saegizi,0,NO_QUERY,0,0,0.7102691,1,negative,negative
fully taboolie tired writing the next chapter of quoti dont want to fall in love ltquot possibly my favourite story,Sun May 17 03:45:56 PDT 2009,parisastone,2,NO_QUERY,2,2,0.7867217,1,positive,positive
i miss the way he talk to me on the phone he drive the car he smoke he laugh and many many things i cant find in this hell,Fri Jun 05 22:46:28 PDT 2009,pinkadelalala,0,NO_QUERY,0,0,0.83679277,1,negative,negative
yes we do,Sat May 16 20:14:07 PDT 2009,emersonanomia,2,NO_QUERY,2,2,0.8442309,1,positive,positive
soooooo tirrrrrred and my buzzzz is dyinggg its gonna be even hotter tomorrow whoooooooo nighttt,Sun May 17 01:30:54 PDT 2009,PapiChulaa,0,NO_QUERY,0,0,0.7498336,1,negative,negative
hmmm you might be right but i want reaaal uplifting trance,Sat Apr 18 09:56:59 PDT 2009,djcodey,2,NO_QUERY,2,2,0.5583659,1,positive,positive
fun but i had to leave early for doctors appointment definitely hoping to go to entire thing next year amazing group of ppl,Wed Jun 17 20:34:37 PDT 2009,piawaugh,0,NO_QUERY,0,0,0.72949696,1,negative,negative
if youre lucky enough to be different from everybody else dont change,Tue Jun 16 08:36:51 PDT 2009,marialugo,2,NO_QUERY,2,2,0.8458287,1,positive,positive
feel a restless night coming on stupid hayfever,Wed Jun 17 15:26:28 PDT 2009,claire_j_89,0,NO_QUERY,0,0,0.8884722,1,negative,negative
you still on if you were here i really need a hugg,Fri Jun 19 20:19:33 PDT 2009,_CatherineElyse,0,NO_QUERY,0,0,0.6491607,1,negative,negative
thats what the dvr is for,Sun May 31 19:17:16 PDT 2009,devlin745,2,NO_QUERY,2,2,0.83825296,1,positive,positive
pj stock kelly hrudey gtgt mike milbury pierre mcguire no contest cbc is yummier for once,Sat May 02 10:53:14 PDT 2009,magicmittens,2,NO_QUERY,2,2,0.55708945,1,positive,positive
yearz passed now hez married and i grew up and he started looking at me i had to leave the church but errbody wanted the dp,Sun Jun 07 08:55:44 PDT 2009,MTVnHollyWEST23,0,NO_QUERY,0,0,0.7573801,1,negative,negative
